Date,EPS,PE,
04-08-2016,5.92,27.41,DLF
05-08-2016,5.92,27.84,DLF
08-08-2016,5.92,27.99,DLF
09-08-2016,5.92,28.17,DLF
10-08-2016,5.92,28.1,DLF
11-08-2016,5.92,27.35,DLF
12-08-2016,5.92,27.45,DLF
16-08-2016,5.92,27.88,DLF
17-08-2016,5.92,28,DLF
18-08-2016,5.92,28.26,DLF
19-08-2016,5.92,28.33,DLF
22-08-2016,5.92,27.79,DLF
23-08-2016,5.92,27.51,DLF
24-08-2016,5.92,27.73,DLF
25-08-2016,5.92,27.33,DLF
26-08-2016,5.92,27.01,DLF
29-08-2016,5.92,26.74,DLF
30-08-2016,5.92,27.4,DLF
31-08-2016,5.92,26.22,DLF
01-09-2016,5.92,25.1,DLF
02-09-2016,5.92,25.32,DLF
06-09-2016,5.92,25.43,DLF
07-09-2016,5.92,25.64,DLF
08-09-2016,5.92,26.45,DLF
09-09-2016,5.92,26.65,DLF
12-09-2016,5.92,24.5,DLF
14-09-2016,5.92,24.42,DLF
15-09-2016,5.92,24.41,DLF
16-09-2016,5.92,24.69,DLF
19-09-2016,5.92,25.62,DLF
20-09-2016,5.92,24.96,DLF
21-09-2016,5.92,25.05,DLF
22-09-2016,5.92,25.98,DLF
23-09-2016,5.92,26.32,DLF
